===========================================================================================================================================================================================================================
      RP |      scs |        k |    theta |      psi | st_1_deg | st_2_deg | st_3_deg | da_1_deg | da_2_deg | da_3_deg | dd_1_deg | dd_2_deg | dd_3_deg | st_1_rad | st_2_rad | st_3_rad | da_1_rad | da_2_rad | da_3_rad | dd_1_rad | dd_2_rad | dd_3_rad | RP_z_deg | RP_z_rad | Tot_z_deg | Tot_z_rad
6.0000 | 0.0100 | 15.0000 | 10.0000 | 0.6100 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8836 | 0.8836
1.0000 | 0.0100 | 15.0000 | 10.0000 | 0.7100 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8829 | 0.8830
2.0000 | 0.0100 | 15.0000 | 10.0000 | 0.7100 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8829 | 0.8830
3.0000 | 0.0100 | 15.0000 | 10.0000 | 0.7100 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8829 | 0.8830
4.0000 | 0.0100 | 15.0000 | 10.0000 | 0.7100 | 102.0000 | 259.4093 | 0.4372 | 86.0000 | 87.5568 | 0.0173 | 192.0000 | 349.4093 | 0.4372 | 1.7827 | 4.5338 | 0.4378 | 1.5030 | 1.5302 | 0.0173 | 3.3556 | 6.1067 | 0.4379 | 0.2973 | 0.2977 | 0.8829 | 0.8830
5.0000 | 0.0100 | 15.0000 | 10.0000 | 0.7100 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8829 | 0.8830
6.0000 | 0.0100 | 15.0000 | 10.0000 | 0.7100 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8829 | 0.8830
1.0000 | 0.0100 | 15.0000 | 10.0000 | 0.8100 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.7738 | 0.7739
2.0000 | 0.0100 | 15.0000 | 10.0000 | 0.8100 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.7738 | 0.7739
3.0000 | 0.0100 | 15.0000 | 10.0000 | 0.8100 | 339.0000 | 5.9013 | 0.9253 | 87.0000 | 83.5428 | 0.0384 | 69.0000 | 95.9013 | 0.0747 | 5.9248 | 0.1031 | 0.9265 | 1.5205 | 1.4601 | 0.0385 | 1.2059 | 1.6761 | 0.0748 | 0.3461 | 0.3466 | 0.7738 | 0.7739
4.0000 | 0.0100 | 15.0000 | 10.0000 | 0.8100 | 102.0000 | 259.8746 | 0.4385 | 86.0000 | 87.0882 | 0.0121 | 192.0000 | 349.8746 | 0.4385 | 1.7827 | 4.5419 | 0.4391 | 1.5030 | 1.5221 | 0.0121 | 3.3556 | 6.1148 | 0.4391 | 0.2964 | 0.2968 | 0.7738 | 0.7739
5.0000 | 0.0100 | 15.0000 | 10.0000 | 0.8100 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.7738 | 0.7739
6.0000 | 0.0100 | 15.0000 | 10.0000 | 0.8100 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.7738 | 0.7739
1.0000 | 0.0100 | 15.0000 | 10.0000 | 0.9100 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8624 | 0.8625
2.0000 | 0.0100 | 15.0000 | 10.0000 | 0.9100 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8624 | 0.8625
3.0000 | 0.0100 | 15.0000 | 10.0000 | 0.9100 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8624 | 0.8625
4.0000 | 0.0100 | 15.0000 | 10.0000 | 0.9100 | 102.0000 | 194.4701 | 0.2569 | 86.0000 | 85.0575 | 0.0105 | 192.0000 | 284.4701 | 0.2569 | 1.7827 | 3.3988 | 0.2572 | 1.5030 | 1.4866 | 0.0105 | 3.3556 | 4.9717 | 0.2572 | 0.1747 | 0.1750 | 0.8624 | 0.8625
5.0000 | 0.0100 | 15.0000 | 10.0000 | 0.9100 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8624 | 0.8625
6.0000 | 0.0100 | 15.0000 | 10.0000 | 0.9100 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8624 | 0.8625
